epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1306.97,0.91966,0.89918,1.00495,0.49428,0.74352,0.51328,0.33305,1.24295,0.88124,1.18438,0.00333267,0.00333267,0.00333267
2,2560.2,0.69003,0.5177,0.9078,0.52837,0.8429,0.5551,0.338,1.28809,0.77923,1.22317,0.00633603,0.00633603,0.00633603
3,3796.84,0.65,0.45949,0.89264,0.60822,0.79389,0.6438,0.41376,1.28314,0.70373,1.24984,0.0090094,0.0090094,0.0090094
4,5023.68,0.59828,0.40479,0.88197,0.64479,0.75418,0.55929,0.37498,1.30607,0.67598,1.24466,0.008515,0.008515,0.008515
5,6256.67,0.53362,0.35477,0.86578,0.4939,0.72904,0.57559,0.38098,1.27314,0.64387,1.2585,0.00802,0.00802,0.00802
6,7483.61,0.49227,0.3249,0.8556,0.55811,0.77075,0.63057,0.41226,1.34969,0.63725,1.28001,0.007525,0.007525,0.007525
7,8709.18,0.46229,0.30461,0.84806,0.6577,0.77931,0.59377,0.38844,1.31592,0.67708,1.26248,0.00703,0.00703,0.00703
8,9938.88,0.43907,0.29012,0.84238,0.66526,0.74786,0.54645,0.34703,1.3079,0.65692,1.27611,0.006535,0.006535,0.006535
9,11172.4,0.41711,0.27663,0.83777,0.52624,0.72799,0.56282,0.36163,1.34361,0.67177,1.3244,0.00604,0.00604,0.00604
10,12403.4,0.39336,0.26268,0.83148,0.50961,0.69678,0.52683,0.33932,1.33896,0.65738,1.32061,0.005545,0.005545,0.005545
11,13676.4,0.33471,0.22436,0.80812,0.66613,0.74783,0.54884,0.35271,1.32361,0.65447,1.34324,0.00505,0.00505,0.00505
12,14897.2,0.30742,0.20926,0.80131,0.66655,0.756,0.55366,0.355,1.32776,0.64776,1.33459,0.004555,0.004555,0.004555
13,16114.1,0.2862,0.19712,0.79563,0.67275,0.75343,0.55395,0.35657,1.32901,0.6506,1.35051,0.00406,0.00406,0.00406
14,17332.3,0.26736,0.18649,0.79186,0.67614,0.73472,0.56001,0.36516,1.33761,0.64796,1.35397,0.003565,0.003565,0.003565
15,18547.7,0.25293,0.17716,0.7888,0.69934,0.7582,0.57481,0.37177,1.32304,0.64546,1.34693,0.00307,0.00307,0.00307
16,19756.2,0.23776,0.16891,0.78502,0.68976,0.75352,0.57631,0.3698,1.32568,0.66128,1.35612,0.002575,0.002575,0.002575
17,20975.8,0.22389,0.15967,0.78279,0.68593,0.75575,0.57111,0.36812,1.32218,0.66992,1.36168,0.00208,0.00208,0.00208
18,22195.7,0.21252,0.15203,0.78068,0.68751,0.75739,0.57468,0.37201,1.32504,0.67986,1.36859,0.001585,0.001585,0.001585
19,23414.2,0.20065,0.14467,0.77924,0.68734,0.75542,0.57399,0.3704,1.32473,0.6872,1.37729,0.00109,0.00109,0.00109
20,24630.9,0.18833,0.13744,0.77681,0.68685,0.75628,0.57371,0.3703,1.3253,0.69909,1.38444,0.000595,0.000595,0.000595
